Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,6844,1,0,0,0,847.62573,894.6228,1638.33618,1725.38757,-0.02942,-0.03919,1.00003,-1.768,0.718,-0.893,6198,68323,102774
0.01,1,6845,1,0,0,0,847.62573,894.6228,1638.1073,1725.99792,-0.02942,-0.04126,0.99844,-1.715,0.648,-0.648,6198,68323,102774
0.02,2,6846,1,0,0,0,847.62573,894.6228,1638.25989,1725.46387,-0.02979,-0.0426,0.99734,-1.698,0.525,-0.56,6199,68321,102772
0.03,3,6847,1,0,0,0,847.62573,894.6228,1638.25989,1725.69275,-0.03027,-0.04175,0.99954,-1.803,0.613,-0.7,6199,68321,102772
0.04,4,6848,1,0,0,0,847.62573,894.6228,1638.33618,1725.46387,-0.03076,-0.04199,0.99991,-1.768,0.7,-0.823,6198,68320,102766
0.05,5,6849,1,0,0,0,847.62573,894.31763,1638.41248,1725.61646,-0.0315,-0.04382,1.00027,-1.54,0.613,-0.735,6198,68320,102766
0.06,6,6850,1,0,0,0,847.62573,894.31763,1638.33618,1725.54016,-0.03113,-0.04419,0.99722,-1.47,0.455,-0.56,6198,68318,102761
0.07,7,6851,1,0,0,0,847.62573,894.31763,1638.33618,1725.84534,-0.03101,-0.04236,0.99796,-1.488,0.525,-0.578,6198,68318,102761
0.08,8,6852,1,0,0,0,847.62573,894.31763,1638.33618,1725.84534,-0.0332,-0.03772,1.00064,-1.225,0.508,-0.56,6192,68317,102757
0.09,9,6853,1,0,0,0,847.62573,894.31763,1638.56506,1725.76904,-0.03284,-0.03809,1.00003,-1.26,0.56,-0.683,6192,68317,102757
0.1,10,6854,1,0,0,0,847.62573,894.31763,1638.79395,1725.76904,-0.03394,-0.03931,0.99979,-1.295,0.683,-0.613,6193,68317,102756
0.11,11,6855,1,0,0,0,847.62573,894.31763,1638.03101,1725.92163,-0.03357,-0.04285,0.99869,-1.365,0.665,-0.665,6193,68317,102756
0.12,12,6856,1,0,0,0,847.62573,894.31763,1637.72583,1725.46387,-0.03345,-0.04382,0.99954,-1.348,0.595,-0.718,6194,68317,102749
0.13,13,6857,1,0,0,0,847.62573,894.31763,1638.25989,1725.23499,-0.03223,-0.04346,1.00027,-1.033,0.543,-0.823,6194,68317,102749
0.14,14,6858,1,0,0,0,847.62573,894.31763,1638.33618,1725.31128,-0.02954,-0.04224,1.00015,-1.068,0.525,-1.033,6191,68315,102749
0.15,15,6859,1,0,0,0,847.62573,894.47021,1638.18359,1725.38757,-0.02795,-0.03955,1.00003,-0.788,0.42,-0.893,6191,68315,102749
0.16,16,6860,1,0,0,0,847.62573,894.47021,1638.25989,1725.23499,-0.02673,-0.03699,0.99979,-0.63,0.368,-0.963,6191,68315,102749
0.17,17,6861,1,0,0,0,847.62573,894.47021,1638.33618,1725.23499,-0.02588,-0.03235,0.99905,-0.63,0.368,-1.015,6191,68312,102749
0.18,18,6862,1,0,0,0,847.62573,894.47021,1638.33618,1725.38757,-0.02454,-0.02954,0.99759,-0.648,0.333,-0.595,6191,68312,102749
0.19,19,6863,1,0,0,0,847.62573,894.47021,1638.33618,1725.31128,-0.02271,-0.02771,0.99503,-0.665,0.403,-0.333,6191,68309,102738
0.2,20,6864,1,0,0,0,847.62573,894.47021,1638.33618,1725.76904,-0.02258,-0.02332,0.99588,-0.998,0.42,0.105,6189,68310,102739
0.21,21,6865,1,0,0,0,847.62573,894.47021,1638.18359,1725.84534,-0.02295,-0.02222,0.99759,-1.558,0.508,0.105,6189,68310,102739
0.22,22,6866,1,0,0,0,847.62573,894.47021,1638.33618,1725.46387,-0.0221,-0.02173,0.99991,-2.153,0.578,0.403,6189,68310,102739
0.23,23,6867,1,0,0,0,847.62573,894.47021,1638.41248,1725.23499,-0.02014,-0.02869,0.99857,-3.045,0.56,1.033,6191,68300,102730
0.24,24,6868,1,0,0,0,847.62573,894.47021,1638.48877,1725.92163,-0.02124,-0.03308,0.99844,-3.255,0.683,1.278,6191,68300,102730
0.25,25,6869,1,0,0,0,847.62573,894.47021,1638.18359,1726.07422,-0.02234,-0.0365,0.99979,-3.518,0.7,1.085,6190,68307,102740
0.26,26,6870,1,0,0,0,847.62573,894.47021,1637.49695,1725.76904,-0.02368,-0.03833,0.99966,-3.64,0.77,1.05,6190,68307,102740
0.27,27,6871,1,0,0,0,847.62573,894.47021,1637.64954,1725.38757,-0.02539,-0.04028,0.99918,-3.658,0.84,0.963,6191,68306,102739
0.28,28,6872,1,0,0,0,847.62573,894.47021,1637.72583,1725.84534,-0.02637,-0.0426,0.99808,-3.588,0.91,1.05,6191,68306,102739
0.29,29,6873,1,0,0,0,847.62573,894.47021,1637.80212,1726.07422,-0.0304,-0.04724,1.00076,-3.483,0.875,0.963,6192,68308,102739
0.3,30,6874,1,0,0,0,847.32056,894.47021,1637.87842,1725.76904,-0.03406,-0.04846,1.00333,-3.413,0.928,0.963,6192,68308,102740
0.31,31,6875,1,0,0,0,847.32056,894.47021,1637.64954,1725.84534,-0.03552,-0.05066,1.00272,-3.203,0.84,0.578,6192,68308,102740
0.32,32,6876,1,0,0,0,847.32056,894.47021,1637.64954,1725.38757,-0.03674,-0.05103,1.00259,-2.783,0.753,0.42,6192,68308,102740
0.33,33,6877,1,0,0,0,847.32056,894.47021,1638.1073,1725.84534,-0.03406,-0.04993,0.99783,-2.45,0.665,0.035,6193,68312,102750
0.34,34,6878,1,0,0,0,847.32056,894.47021,1638.1073,1725.31128,-0.03381,-0.04602,0.99747,-1.68,0.473,-0.595,6193,68312,102750
0.35,35,6879,1,0,0,0,847.32056,894.6228,1637.72583,1725.38757,-0.03577,-0.04248,1.0004,-1.54,0.595,-0.683,6196,68311,102756
0.36,36,6880,1,0,0,0,847.32056,894.6228,1637.64954,1725.54016,-0.03589,-0.04016,1.00174,-1.26,0.543,-0.788,6196,68311,102756
0.37,37,6881,1,0,0,0,847.32056,894.6228,1637.87842,1725.31128,-0.0343,-0.03955,1.00137,-1.33,0.525,-1.085,6197,68309,102750
0.38,38,6882,1,0,0,0,847.32056,894.6228,1637.80212,1725.92163,-0.03284,-0.04151,1.00113,-1.278,0.56,-1.05,6197,68309,102750
0.39,39,6883,1,0,0,0,847.32056,894.6228,1637.87842,1725.99792,-0.03125,-0.03797,0.99796,-0.91,0.368,-1.12,6197,68307,102752
0.4,40,6884,1,0,0,0,847.32056,894.6228,1638.03101,1725.31128,-0.02649,-0.0365,0.99332,-0.84,0.35,-1.103,6196,68306,102751
0.41,41,6885,1,0,0,0,847.32056,894.6228,1637.64954,1725.99792,-0.02478,-0.03516,0.99344,-0.945,0.438,-1.033,6196,68306,102751
0.42,42,6886,1,0,0,0,847.32056,894.6228,1637.87842,1725.23499,-0.02649,-0.03613,0.99637,-1.278,0.525,-1.208,6196,68306,102751
0.43,43,6887,1,0,0,0,847.32056,894.6228,1637.95471,1725.31128,-0.03015,-0.03858,1.00198,-1.54,0.7,-1.225,6199,68306,102752
0.44,44,6888,1,0,0,0,847.32056,894.6228,1637.72583,1725.23499,-0.03162,-0.04138,1.00125,-1.26,0.508,-1.453,6199,68306,102752
0.45,45,6889,1,0,0,0,847.32056,894.39392,1637.95471,1725.23499,-0.02966,-0.0376,0.99954,-0.753,0.508,-1.418,6200,68311,102747
0.46,46,6890,1,0,0,0,847.32056,894.39392,1637.49695,1725.23499,-0.02832,-0.03613,0.99771,-0.77,0.438,-1.435,6200,68311,102747
0.47,47,6891,1,0,0,0,847.32056,894.39392,1637.80212,1725.31128,-0.0293,-0.03491,0.99661,-1.05,0.508,-1.505,6202,68307,102747
0.48,48,6892,1,0,0,0,847.32056,894.39392,1637.72583,1725.38757,-0.03052,-0.03455,0.99722,-1.348,0.56,-1.645,6202,68307,102747
0.49,49,6893,1,0,0,0,847.32056,894.39392,1637.80212,1726.3031,-0.02869,-0.03467,0.99832,-1.348,0.525,-1.418,6202,68306,102747
0.5,50,6894,1,0,0,0,847.32056,894.39392,1637.95471,1725.69275,-0.02612,-0.03003,0.99722,-1.348,0.578,-1.173,6203,68307,102749
0.51,51,6895,1,0,0,0,847.32056,894.39392,1637.64954,1726.07422,-0.02698,-0.02673,0.99869,-1.593,0.56,-1.26,6203,68307,102749
0.52,52,6896,1,0,0,0,847.32056,894.39392,1637.80212,1725.23499,-0.02564,-0.026,0.99771,-1.873,0.7,-1.435,6203,68307,102749
0.53,53,6897,1,0,0,0,847.32056,894.39392,1638.18359,1725.99792,-0.02539,-0.02417,0.99881,-1.925,0.7,-1.365,6206,68306,102745
0.54,54,6898,1,0,0,0,847.32056,894.39392,1638.33618,1725.99792,-0.02356,-0.026,0.99905,-2.205,0.683,-1.138,6206,68306,102745
0.55,55,6899,1,0,0,0,847.32056,894.6991,1638.56506,1725.54016,-0.02393,-0.03137,1.00003,-2.713,0.823,-0.858,6208,68305,102748
0.56,56,6900,1,0,0,0,847.32056,894.6991,1638.03101,1725.76904,-0.02368,-0.02942,1.00235,-2.59,0.683,-0.648,6208,68305,102748
0.57,57,6901,1,0,0,0,847.32056,894.6991,1638.18359,1725.31128,-0.021,-0.02881,0.99857,-2.503,0.525,-0.665,6207,68307,102749
0.58,58,6902,1,0,0,0,847.32056,894.6991,1638.33618,1725.76904,-0.02002,-0.02588,0.99734,-2.503,0.63,-0.385,6207,68307,102749
0.59,59,6903,1,0,0,0,847.32056,894.6991,1638.18359,1725.61646,-0.02002,-0.02332,0.99661,-2.853,0.788,-0.088,6210,68308,102758
0.6,60,6904,1,0,0,0,847.54944,894.6991,1638.18359,1725.23499,-0.02161,-0.0249,0.9971,-3.675,0.91,0.175,6210,68308,102758
0.61,61,6905,1,0,0,0,847.54944,894.6991,1638.18359,1725.54016,-0.02222,-0.02515,0.99942,-3.955,0.91,0.245,6213,68311,102759
0.62,62,6906,1,0,0,0,847.54944,894.6991,1638.03101,1725.31128,-0.02197,-0.02979,1.0015,-4.34,1.05,0.49,6213,68311,102759
0.63,63,6907,1,0,0,0,847.54944,894.6991,1638.18359,1725.38757,-0.02454,-0.03552,1.00174,-4.813,1.103,0.543,6209,68313,102762
0.64,64,6908,1,0,0,0,847.54944,894.6991,1638.18359,1725.69275,-0.02661,-0.0398,1.0032,-4.9,1.173,0.508,6209,68313,102762
0.65,65,6909,1,0,0,0,847.54944,894.39392,1638.03101,1725.23499,-0.02808,-0.04297,0.9982,-4.463,1.033,0.595,6211,68311,102768
0.66,66,6910,1,0,0,0,847.54944,894.39392,1637.95471,1725.0061,-0.02808,-0.03967,0.99625,-4.008,0.998,0.56,6211,68311,102768
0.67,67,6911,1,0,0,0,847.54944,894.39392,1638.18359,1725.15869,-0.03125,-0.03552,0.99747,-3.85,1.033,0.665,6214,68313,102768
0.68,68,6912,1,0,0,0,847.54944,894.39392,1638.1073,1725.15869,-0.03162,-0.03418,0.9971,-3.973,1.138,0.613,6214,68313,102768
0.69,69,6913,1,0,0,0,847.54944,894.39392,1638.25989,1725.15869,-0.03198,-0.03528,0.99991,-4.2,1.12,0.683,6215,68314,102770
0.7,70,6914,1,0,0,0,847.54944,894.39392,1638.94653,1725.54016,-0.03565,-0.04321,1.00198,-4.62,1.225,0.263,6215,68314,102770
0.71,71,6915,1,0,0,0,847.54944,894.39392,1638.1073,1725.46387,-0.03735,-0.04883,1.00211,-4.673,1.278,0.035,6218,68316,102770
0.72,72,6916,1,0,0,0,847.54944,894.39392,1638.25989,1725.31128,-0.04041,-0.05103,1.00198,-4.375,1.12,-0.245,6218,68316,102770
0.73,73,6917,1,0,0,0,847.54944,894.39392,1638.1073,1725.69275,-0.03931,-0.05298,0.99954,-3.868,0.928,-0.175,6217,68314,102766
0.74,74,6918,1,0,0,0,847.54944,894.39392,1637.95471,1725.38757,-0.03906,-0.05213,0.9982,-3.308,0.875,-0.333,6217,68314,102766
0.75,75,6919,1,0,0,0,847.54944,894.24133,1638.1073,1725.69275,-0.03723,-0.04724,0.99905,-2.415,0.91,-0.438,6218,68312,102765
0.76,76,6920,1,0,0,0,847.54944,894.24133,1637.87842,1725.84534,-0.03626,-0.04321,1.00052,-1.96,0.805,-0.63,6218,68312,102765
0.77,77,6921,1,0,0,0,847.54944,894.24133,1638.03101,1725.76904,-0.03845,-0.04028,1.00406,-1.593,0.63,-0.665,6218,68313,102770
0.78,78,6922,1,0,0,0,847.54944,894.24133,1638.1073,1725.23499,-0.03577,-0.04004,1.00137,-1.313,0.578,-0.753,6218,68313,102770
0.79,79,6923,1,0,0,0,847.54944,894.24133,1638.1073,1725.99792,-0.03076,-0.04053,1.00027,-1.295,0.525,-0.648,6219,68310,102764
0.8,80,6924,1,0,0,0,847.47314,894.24133,1638.18359,1725.84534,-0.02271,-0.03967,0.99954,-1.208,0.298,-0.753,6219,68310,102764
0.81,81,6925,1,0,0,0,847.47314,894.24133,1637.95471,1725.23499,-0.02173,-0.03906,1.00015,-1.103,0.245,-0.858,6219,68306,102745
0.82,82,6926,1,0,0,0,847.47314,894.24133,1638.1073,1725.31128,-0.02026,-0.03833,0.99942,-1.05,0.315,-1.103,6219,68306,102745
0.83,83,6927,1,0,0,0,847.47314,894.24133,1637.95471,1725.23499,-0.02002,-0.03699,0.99771,-0.98,0.403,-1.12,6213,68303,102729
0.84,84,6928,1,0,0,0,847.47314,894.24133,1638.03101,1725.99792,-0.02307,-0.0365,0.99893,-1.225,0.578,-1.033,6213,68303,102729
0.85,85,6929,1,0,0,0,847.47314,894.6228,1638.41248,1725.46387,-0.02918,-0.03455,1.00015,-1.4,0.648,-1.12,6208,68301,102716
0.86,86,6930,1,0,0,0,847.47314,894.6228,1637.80212,1725.31128,-0.02991,-0.03528,0.99808,-1.645,0.718,-1.225,6208,68301,102716
0.87,87,6931,1,0,0,0,847.47314,894.6228,1638.18359,1725.31128,-0.02771,-0.0365,0.99625,-1.925,0.648,-1.05,6200,68296,102700
0.88,88,6932,1,0,0,0,847.47314,894.6228,1638.18359,1725.92163,-0.026,-0.03662,0.99576,-1.943,0.718,-1.033,6200,68296,102700
0.89,89,6933,1,0,0,0,847.47314,894.6228,1638.1073,1725.46387,-0.02661,-0.03601,0.99625,-2.1,0.805,-1.138,6194,68291,102688
0.9,90,6934,1,0,0,0,847.54944,894.6228,1638.25989,1725.76904,-0.02832,-0.03455,1.00027,-2.31,0.963,-1.295,6194,68291,102688
0.91,91,6935,1,0,0,0,847.54944,894.6228,1638.18359,1725.15869,-0.02918,-0.03613,0.99905,-2.468,0.963,-1.12,6190,68291,102678
0.92,92,6936,1,0,0,0,847.54944,894.6228,1638.25989,1725.31128,-0.02832,-0.03772,0.99954,-2.503,0.91,-1.12,6190,68291,102678
0.93,93,6937,1,0,0,0,847.54944,894.6228,1638.25989,1725.76904,-0.0304,-0.03699,1.00235,-2.398,0.788,-1.103,6183,68290,102672
0.94,94,6938,1,0,0,0,847.54944,894.6228,1638.33618,1725.84534,-0.03101,-0.03577,1.00357,-2.433,0.875,-1.033,6183,68290,102672
0.95,95,6939,1,0,0,0,847.54944,894.31763,1638.1073,1725.0824,-0.0304,-0.03674,0.99747,-2.485,0.875,-0.945,6176,68290,102659
0.96,96,6940,1,0,0,0,847.54944,894.31763,1638.03101,1725.23499,-0.0304,-0.03674,0.99747,-2.293,0.7,-0.945,6176,68290,102659
0.97,97,6941,1,0,0,0,847.54944,894.31763,1638.41248,1725.38757,-0.02673,-0.03467,0.99551,-2.205,0.7,-0.875,6173,68284,102653
0.98,98,6942,1,0,0,0,847.54944,894.31763,1638.33618,1725.0824,-0.0282,-0.03308,0.9949,-2.415,0.735,-0.823,6173,68284,102653
0.99,99,6943,1,0,0,0,847.54944,894.31763,1638.33618,1725.0824,-0.02954,-0.03565,0.99857,-2.59,0.84,-0.893,6168,68283,102645
1.0,100,6944,1,0,0,0,847.62573,894.31763,1639.02283,1725.15869,-0.03064,-0.03821,1.00113,-2.625,0.77,-0.805,6168,68283,102645
1.01,101,6945,1,0,0,0,847.62573,894.31763,1638.25989,1725.23499,-0.03027,-0.04077,1.00186,-2.503,0.788,-0.753,6162,68279,102636
1.02,102,6946,1,0,0,0,847.62573,894.31763,1638.25989,1725.38757,-0.02722,-0.03809,1.00027,-1.873,0.613,-0.735,6162,68279,102636
1.03,103,6947,1,0,0,0,847.62573,894.31763,1638.18359,1725.92163,-0.02795,-0.0365,0.99771,-1.838,0.63,-0.788,6160,68280,102631
1.04,104,6948,1,0,0,0,847.62573,894.31763,1638.33618,1725.23499,-0.02747,-0.03491,0.99454,-2.065,0.595,-0.543,6160,68280,102631
1.05,105,6949,1,0,0,0,847.62573,894.39392,1638.33618,1725.76904,-0.02844,-0.03565,0.99673,-2.38,0.7,-0.875,6159,68279,102624
1.06,106,6950,1,0,0,0,847.62573,894.39392,1638.03101,1725.31128,-0.03137,-0.03638,1.00015,-2.17,0.683,-0.718,6159,68279,102624
1.07,107,6951,1,0,0,0,847.62573,894.39392,1638.25989,1725.23499,-0.03162,-0.03552,1.00064,-1.873,0.718,-0.718,6153,68276,102619
1.08,108,6952,1,0,0,0,847.62573,894.39392,1638.33618,1725.54016,-0.03015,-0.0365,0.99832,-1.873,0.613,-0.788,6153,68276,102619
1.09,109,6953,1,0,0,0,847.62573,894.39392,1638.25989,1725.84534,-0.03003,-0.03491,0.99832,-1.89,0.648,-0.77,6154,68275,102616
1.1,110,6954,1,0,0,0,847.62573,894.39392,1638.18359,1725.31128,-0.02747,-0.03638,0.99747,-1.855,0.595,-0.805,6154,68275,102616
1.11,111,6955,1,0,0,0,847.62573,894.39392,1638.25989,1725.76904,-0.02795,-0.03577,0.99857,-1.96,0.525,-0.805,6149,68275,102613
1.12,112,6956,1,0,0,0,847.62573,894.39392,1638.25989,1725.23499,-0.02698,-0.03577,0.99905,-2.188,0.718,-1.155,6149,68275,102613
1.13,113,6957,1,0,0,0,847.62573,894.39392,1638.25989,1725.15869,-0.02783,-0.03528,1.00052,-2.328,0.7,-0.84,6150,68272,102614
1.14,114,6958,1,0,0,0,847.62573,894.39392,1638.41248,1725.15869,-0.02857,-0.03491,1.00186,-2.31,0.823,-1.015,6150,68272,102614
1.15,115,6959,1,0,0,0,847.62573,894.24133,1638.41248,1725.23499,-0.02881,-0.03674,0.99918,-2.293,0.788,-0.98,6146,68272,102609
1.16,116,6960,1,0,0,0,847.62573,894.24133,1637.95471,1725.54016,-0.02881,-0.0365,0.99869,-2.275,0.788,-1.085,6146,68272,102609
1.17,117,6961,1,0,0,0,847.62573,894.24133,1638.25989,1725.69275,-0.0282,-0.03369,0.9982,-2.153,0.63,-0.98,6143,68272,102605
1.18,118,6962,1,0,0,0,847.62573,894.24133,1638.33618,1724.92981,-0.02893,-0.03113,0.99698,-2.1,0.665,-0.945,6143,68272,102605
1.19,119,6963,1,0,0,0,847.62573,894.24133,1638.25989,1725.54016,-0.0282,-0.02954,0.99564,-2.188,0.788,-0.928,6144,68269,102609
1.2,120,6964,1,0,0,0,847.93091,894.24133,1638.33618,1725.15869,-0.0304,-0.03015,0.99954,-2.433,0.7,-0.875,6144,68269,102609
1.21,121,6965,1,0,0,0,847.93091,894.24133,1638.25989,1725.38757,-0.02893,-0.03211,1.00027,-2.485,0.7,-0.858,6141,68272,102599
1.22,122,6966,1,0,0,0,847.93091,894.24133,1638.18359,1725.38757,-0.02686,-0.03442,0.99796,-2.573,0.805,-0.875,6141,68272,102599
1.23,123,6967,1,0,0,0,847.93091,894.24133,1638.48877,1725.15869,-0.02673,-0.0354,0.99979,-2.485,0.613,-0.525,6142,68268,102596
1.24,124,6968,1,0,0,0,847.93091,894.24133,1638.33618,1725.76904,-0.02844,-0.03479,0.99991,-2.678,0.595,-0.473,6142,68268,102596
1.25,125,6969,1,0,0,0,847.93091,894.39392,1638.33618,1725.0824,-0.02747,-0.03491,0.99808,-2.538,0.753,-0.613,6141,68268,102599
1.26,126,6970,1,0,0,0,847.93091,894.39392,1638.03101,1725.0061,-0.02783,-0.03442,0.99686,-2.695,0.805,-0.508,6141,68268,102599
1.27,127,6971,1,0,0,0,847.93091,894.39392,1638.18359,1725.61646,-0.02783,-0.0343,0.9971,-2.713,0.788,-0.578,6141,68267,102600
1.28,128,6972,1,0,0,0,847.93091,894.39392,1638.1073,1725.15869,-0.02881,-0.03296,0.99918,-2.835,1.033,-0.648,6141,68267,102600
1.29,129,6973,1,0,0,0,847.93091,894.39392,1638.25989,1725.23499,-0.02918,-0.03455,0.99979,-3.028,1.015,-0.595,6138,68266,102597
1.3,130,6974,1,0,0,0,847.47314,894.39392,1638.64136,1725.76904,-0.02979,-0.03369,1.00259,-3.133,0.963,-0.56,6138,68266,102597
1.31,131,6975,1,0,0,0,847.47314,894.39392,1637.87842,1725.23499,-0.0293,-0.03589,1.00125,-3.238,0.91,-0.595,6141,68268,102592
1.32,132,6976,1,0,0,0,847.47314,894.39392,1637.95471,1725.46387,-0.02905,-0.03662,1.00162,-3.168,0.718,-0.56,6141,68268,102592
1.33,133,6977,1,0,0,0,847.47314,894.39392,1638.1073,1725.84534,-0.02795,-0.03479,0.9982,-2.468,0.595,-0.368,6140,68265,102593
1.34,134,6978,1,0,0,0,847.47314,894.39392,1638.03101,1725.38757,-0.02832,-0.03272,0.99796,-2.468,0.788,-0.438,6140,68265,102593
1.35,135,6979,1,0,0,0,847.47314,894.08875,1638.33618,1725.0824,-0.02612,-0.03198,0.99637,-2.59,0.753,-0.333,6143,68266,102602
1.36,136,6980,1,0,0,0,847.47314,894.08875,1637.95471,1725.38757,-0.02747,-0.03259,0.99722,-2.835,0.823,-0.368,6143,68266,102602
1.37,137,6981,1,0,0,0,847.47314,894.08875,1638.1073,1725.23499,-0.02783,-0.03418,0.99979,-2.923,0.788,-0.123,6142,68267,102596
1.38,138,6982,1,0,0,0,847.47314,894.08875,1638.25989,1725.84534,-0.02881,-0.03589,0.99954,-2.888,0.735,-0.228,6142,68267,102596
1.39,139,6983,1,0,0,0,847.47314,894.08875,1638.25989,1725.76904,-0.0271,-0.03516,0.99808,-2.8,0.648,-0.053,6142,68268,102602
1.4,140,6984,1,0,0,0,847.62573,894.08875,1638.33618,1725.0824,-0.02637,-0.03406,0.99698,-2.958,0.718,-0.018,6142,68268,102602
1.41,141,6985,1,0,0,0,847.62573,894.08875,1638.18359,1725.31128,-0.026,-0.03406,0.99869,-2.94,0.7,0.018,6144,68265,102602
1.42,142,6986,1,0,0,0,847.62573,894.08875,1638.33618,1725.15869,-0.02783,-0.03345,0.99954,-3.133,0.893,-0.193,6144,68265,102602
1.43,143,6987,1,0,0,0,847.62573,894.08875,1638.33618,1725.61646,-0.02942,-0.03504,1.00113,-3.08,0.875,-0.07,6141,68263,102606
1.44,144,6988,1,0,0,0,847.62573,894.08875,1638.56506,1725.54016,-0.02979,-0.03967,1.00015,-3.22,0.858,0.018,6141,68263,102606
1.45,145,6989,1,0,0,0,847.62573,894.54651,1638.56506,1725.54016,-0.02857,-0.03919,0.99979,-2.94,0.805,-0.105,6143,68266,102611
1.46,146,6990,1,0,0,0,847.62573,894.54651,1638.1073,1725.0824,-0.02783,-0.0387,0.99832,-2.748,0.77,-0.14,6143,68266,102611
1.47,147,6991,1,0,0,0,847.62573,894.54651,1638.41248,1725.38757,-0.02905,-0.0376,0.99844,-2.59,0.7,0.018,6146,68263,102608
1.48,148,6992,1,0,0,0,847.62573,894.54651,1638.33618,1725.76904,-0.02979,-0.03735,0.99832,-2.625,0.7,-0.158,6146,68263,102608
1.49,149,6993,1,0,0,0,847.62573,894.54651,1638.25989,1725.23499,-0.03101,-0.03772,0.99966,-2.66,0.7,-0.263,6147,68270,102614
1.5,150,6994,1,0,0,0,847.70203,894.54651,1638.41248,1725.61646,-0.0315,-0.03833,1.00003,-2.713,0.683,-0.158,6147,68270,102614
1.51,151,6995,1,0,0,0,847.70203,894.54651,1638.25989,1725.69275,-0.0282,-0.0398,0.99808,-2.818,0.7,-0.228,6146,68268,102618
1.52,152,6996,1,0,0,0,847.70203,894.54651,1638.41248,1725.61646,-0.03052,-0.0376,1.00027,-2.818,0.648,-0.368,6146,68268,102618
1.53,153,6997,1,0,0,0,847.70203,894.54651,1638.41248,1725.31128,-0.02893,-0.03735,1.00015,-2.678,0.665,-0.333,6146,68268,102622
1.54,154,6998,1,0,0,0,847.70203,894.54651,1638.41248,1725.38757,-0.0282,-0.03723,0.99869,-2.555,0.63,-0.473,6146,68268,102622
1.55,155,6999,1,0,0,0,847.70203,894.39392,1638.33618,1725.15869,-0.02625,-0.03723,0.99759,-2.573,0.63,-0.508,6150,68267,102623
1.56,156,7000,1,0,0,0,847.70203,894.39392,1638.41248,1725.23499,-0.02686,-0.03797,0.99759,-2.765,0.7,-0.543,6150,68267,102623
1.57,157,7001,1,0,0,0,847.70203,894.39392,1638.25989,1725.23499,-0.0282,-0.03821,0.99918,-2.923,0.77,-0.7,6151,68270,102623
1.58,158,7002,1,0,0,0,847.70203,894.39392,1638.25989,1725.92163,-0.02979,-0.03772,0.99881,-2.835,0.805,-0.595,6151,68270,102623
1.59,159,7003,1,0,0,0,847.70203,894.39392,1638.41248,1725.54016,-0.02759,-0.03638,0.99869,-2.503,0.665,-0.525,6156,68271,102625
1.6,160,7004,1,0,0,0,847.62573,894.39392,1638.64136,1725.23499,-0.02759,-0.0354,0.99991,-2.643,0.595,-0.403,6156,68271,102625
1.61,161,7005,1,0,0,0,847.62573,894.39392,1638.18359,1725.15869,-0.0293,-0.03601,0.99857,-2.853,0.753,-0.543,6154,68271,102631
1.62,162,7006,1,0,0,0,847.62573,894.39392,1638.33618,1725.61646,-0.03015,-0.03699,0.99893,-2.87,0.858,-0.455,6154,68271,102631
1.63,163,7007,1,0,0,0,847.62573,894.39392,1638.33618,1724.85352,-0.0293,-0.03858,0.99783,-2.905,0.998,-0.613,6156,68270,102634
1.64,164,7008,1,0,0,0,847.62573,894.39392,1638.25989,1725.61646,-0.02881,-0.04004,0.99808,-2.66,0.963,-0.578,6156,68270,102634
1.65,165,7009,1,0,0,0,847.62573,894.47021,1638.25989,1725.0824,-0.02918,-0.03699,0.99918,-2.485,1.033,-0.613,6157,68271,102635
1.66,166,7010,1,0,0,0,847.62573,894.47021,1638.03101,1725.15869,-0.0304,-0.03467,1.00027,-2.398,0.998,-0.49,6157,68271,102635
1.67,167,7011,1,0,0,0,847.62573,894.47021,1638.25989,1724.85352,-0.03003,-0.0354,1.00247,-2.59,0.84,-0.42,6159,68270,102633
1.68,168,7012,1,0,0,0,847.62573,894.47021,1638.33618,1724.92981,-0.0315,-0.03894,1.00443,-3.01,0.753,-0.42,6159,68270,102633
1.69,169,7013,1,0,0,0,847.62573,894.47021,1638.25989,1724.77722,-0.03064,-0.04199,1.00223,-2.73,0.63,-0.193,6159,68271,102639
1.7,170,7014,1,0,0,0,847.62573,894.47021,1638.1073,1725.0061,-0.02918,-0.03674,0.99747,-2.135,0.595,-0.63,6159,68271,102639
1.71,171,7015,1,0,0,0,847.62573,894.47021,1638.18359,1725.0061,-0.02795,-0.03174,0.99576,-2.135,0.525,-0.683,6160,68269,102639
1.72,172,7016,1,0,0,0,847.62573,894.47021,1638.18359,1725.0824,-0.02893,-0.02905,0.99734,-2.485,0.543,-0.298,6160,68269,102639
1.73,173,7017,1,0,0,0,847.62573,894.47021,1637.72583,1725.0061,-0.02857,-0.03113,0.99905,-2.923,0.578,-0.42,6162,68271,102640
1.74,174,7018,1,0,0,0,847.62573,894.47021,1637.80212,1725.0824,-0.0282,-0.03394,0.99979,-3.15,0.578,-0.315,6162,68271,102640
